mode,model_label,eer,min_dcf,eval_split,probe_split,max_eval_samples,max_cka_samples,max_probe_samples,probe_representation,probe_target,codec_unique,codec_q_unique,probe_target_unique,probe_chance_acc,probe_chance_pct,max_probe_acc,probe_num_samples,max_leakage_layer,delta_eer_vs_base,delta_min_dcf_vs_base,delta_probe_vs_base,notes
layer_patch_repr,Patched A:ERM:layer_patch_repr,0.10391724930562207,0.2265204482329278,eval,eval,500,5000,5000,repr,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.4274,5000,0,0.008524087731060254,-0.014754333876065562,-0.0064,global_repr_patch
layer_patch_hidden,Patched A:ERM:layer_patch_hidden,0.09539316157456182,0.24127478210899336,eval,eval,500,5000,5000,hidden_states,CODEC,12,9,12,0.08333333333333333,8.333333333333332,0.4338,5000,0,0.0,0.0,0.0,"layers=[11, 0, 1]"
